theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
0.260261,3.363958,2.162278,4.363958,3.162278,-11.0900,-10.5900
0.234644,3.781312,2.388442,4.781312,3.388442,-11.1800,-10.6500
5.133450,0.005931,0.288250,1.005931,1.288250,-8.5000,-8.3900
4.628171,0.009869,0.047129,1.009869,1.047129,-8.5900,-8.5700
4.124862,0.016431,-0.022763,1.016431,0.977237,-8.6900,-8.7000
3.718856,0.024865,-0.022763,1.024865,0.977237,-8.7800,-8.7900
3.352813,0.036254,0.000000,1.036254,1.000000,-8.8700,-8.8700
3.093210,0.047511,0.000000,1.047511,1.000000,-8.9400,-8.9400
2.853707,0.061155,0.023293,1.061155,1.023293,-9.0100,-9.0000
2.663234,0.074948,0.047129,1.074948,1.047129,-9.0700,-9.0500
2.514255,0.088048,0.047129,1.088048,1.047129,-9.1200,-9.1000
2.401095,0.099649,0.047129,1.099649,1.047129,-9.1600,-9.1400
2.293028,0.112298,0.047129,1.112298,1.047129,-9.2000,-9.1800
2.215182,0.122503,0.047129,1.122503,1.047129,-9.2300,-9.2100
2.115482,0.137107,0.071519,1.137107,1.071519,-9.2700,-9.2400
2.043663,0.148835,0.071519,1.148835,1.071519,-9.3000,-9.2700
1.951683,0.165548,0.096478,1.165548,1.096478,-9.3400,-9.3000
1.863843,0.183538,0.148154,1.183538,1.148154,-9.3800,-9.3200
1.800567,0.197899,0.174898,1.197899,1.174898,-9.4100,-9.3400
1.719528,0.218250,0.230269,1.218250,1.230269,-9.4500,-9.3600
1.661152,0.234446,0.258925,1.234446,1.258925,-9.4800,-9.3800
1.604757,0.251468,0.288250,1.251468,1.288250,-9.5100,-9.4000
1.568229,0.263287,0.288250,1.263287,1.288250,-9.5300,-9.4200
1.480503,0.294537,0.318257,1.294537,1.318257,-9.5800,-9.4600
1.446803,0.307739,0.348963,1.307739,1.348963,-9.6000,-9.4700
1.397685,0.328318,0.380384,1.328318,1.380384,-9.6300,-9.4900
1.381686,0.335389,0.412538,1.335389,1.412538,-9.6400,-9.4900
1.365870,0.342568,0.412538,1.342568,1.412538,-9.6500,-9.5000
1.334779,0.357250,0.412538,1.357250,1.412538,-9.6700,-9.5200
1.304396,0.372375,0.445440,1.372375,1.445440,-9.6900,-9.5300
1.231429,0.412180,0.513561,1.412180,1.513561,-9.7400,-9.5600
1.203398,0.428923,0.548817,1.428923,1.548817,-9.7600,-9.5700
1.123077,0.482091,0.621810,1.482091,1.621810,-9.8200,-9.6100
1.097512,0.500826,0.621810,1.500826,1.621810,-9.8400,-9.6300
1.072530,0.520085,0.659587,1.520085,1.659587,-9.8600,-9.6400
0.944951,0.635854,0.819701,1.635854,1.819701,-9.9700,-9.7100
0.934134,0.647245,0.778279,1.647245,1.778279,-9.9800,-9.7300
0.912871,0.670482,0.819701,1.670482,1.819701,-10.0000,-9.7400
0.804284,0.809654,0.949845,1.809654,1.949845,-10.1100,-9.8200
0.716819,0.954282,1.041738,1.954282,2.041738,-10.2100,-9.9000
0.631552,1.135683,1.187762,2.135683,2.187762,-10.3200,-9.9800
0.575983,1.283899,1.290868,2.283899,2.290868,-10.4000,-10.0400
0.531385,1.425949,1.398833,2.425949,2.398833,-10.4700,-10.0900
0.484629,1.603663,1.511886,2.603663,2.511886,-10.5500,-10.1500
0.452282,1.748572,1.511886,2.748572,2.511886,-10.6100,-10.2100
0.417263,1.931244,1.630268,2.931244,2.630268,-10.6800,-10.2600
0.384954,2.129710,1.754229,3.129710,2.754229,-10.7500,-10.3100
0.359260,2.313370,1.884032,3.313370,2.884032,-10.8100,-10.3500
0.339164,2.476638,1.951209,3.476638,2.951209,-10.8600,-10.3900
0.320191,2.649771,2.090295,3.649771,3.090295,-10.9100,-10.4200
0.302280,2.833343,2.388442,3.833343,3.388442,-10.9600,-10.4300
0.288675,2.988125,2.630781,3.988125,3.630781,-11.0000,-10.4400
0.272527,3.192045,2.981072,4.192045,3.981072,-11.0500,-10.4500
0.260261,3.363958,3.168694,4.363958,4.168694,-11.0900,-10.4700
0.251426,3.498251,3.265795,4.498251,4.265795,-11.1200,-10.4900
0.242890,3.637313,3.265795,4.637313,4.265795,-11.1500,-10.5200
0.234644,3.781312,3.168694,4.781312,4.168694,-11.1800,-10.5600
0.224083,3.981285,3.265795,4.981285,4.265795,-11.2200,-10.5900
0.216476,4.137479,3.265795,5.137479,4.265795,-11.2500,-10.6200
0.209127,4.299206,3.265795,5.299206,4.265795,-11.2800,-10.6500
0.204366,4.410192,3.365158,5.410192,4.365158,-11.3000,-10.6600
0.197428,4.581572,3.466836,5.581572,4.466836,-11.3300,-10.6800
0.192934,4.699180,3.466836,5.699180,4.466836,-11.3500,-10.7000
0.186384,4.880781,3.570882,5.880781,4.570882,-11.3800,-10.7200
0.180057,5.068802,3.677351,6.068802,4.677351,-11.4100,-10.7400
0.175958,5.197825,3.677351,6.197825,4.677351,-11.4300,-10.7600
0.169985,5.397047,4.011872,6.397047,5.011872,-11.4600,-10.7600
0.162334,5.673662,4.248075,6.673662,5.248075,-11.5000,-10.7800
0.149765,6.189618,4.888437,7.189618,5.888437,-11.5700,-10.8000
1.024258,0.560215,-0.592620,1.560215,0.407380,-9.9000,-10.2900
0.912871,0.670482,-0.308169,1.670482,0.691831,-10.0000,-10.1600
0.804284,0.809654,-0.022763,1.809654,0.977237,-10.1100,-10.1200
0.733516,0.923883,0.202264,1.923883,1.202264,-10.1900,-10.1100
0.708613,0.969769,0.122018,1.969769,1.122018,-10.2200,-10.1700
0.653747,1.083740,0.230269,2.083740,1.230269,-10.2900,-10.2000
0.610112,1.189574,0.318257,2.189574,1.318257,-10.3500,-10.2300
0.569389,1.303462,0.445440,2.303462,1.445440,-10.4100,-10.2500
0.550059,1.363595,0.513561,2.363595,1.513561,-10.4400,-10.2600
0.519289,1.468790,0.584893,2.468790,1.584893,-10.4900,-10.2900
0.495917,1.557623,0.659587,2.557623,1.659587,-10.5300,-10.3100
0.473597,1.650817,0.819701,2.650817,1.819701,-10.5700,-10.3100
0.447105,1.773747,0.995262,2.773747,1.995262,-10.6200,-10.3200
0.422094,1.904210,1.089296,2.904210,2.089296,-10.6700,-10.3500
0.393921,2.071321,1.290868,3.071321,2.290868,-10.7300,-10.3700
0.384954,2.129710,1.187762,3.129710,2.187762,-10.7500,-10.4100
0.363420,2.281852,1.238721,3.281852,2.238721,-10.8000,-10.4500
0.347064,2.410178,1.344229,3.410178,2.344229,-10.8400,-10.4700
0.335281,2.510458,1.344229,3.510458,2.344229,-10.8700,-10.5000
0.316526,2.685631,1.398833,3.685631,2.398833,-10.9200,-10.5400
